"ID","Race","Gender","Afqt80","Afqt89","Afqt_06","Voted","PolitAffil","PolitStrength","ClosestParty","FollowsPolit","FedGovActsForPpl","label","Afqt06","Polit_Strength","Follows_Polit","Polit_Affil","Closest_Party","Intell","Strength","Orientation"
"416","3","2","73","68","53109","0.718201162","2","1",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","53.109","0.8329071367","0.510399862","1",".","53.109","0.6871693869","1"
"417","3","1","49","56","55338","0.718201162","2","2",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","55.338","-1.200377928","0.510399862","1",".","55.338","0.0094076986","1"
"418","3","2","59","45","60767","-1.600838954","3",".","3","4","4","RACL/ETHNIC COHORT /SCRNR 79","60.767",".","-1.157831463",".","0","60.767","-1.379335208","0"
"419","3","1","63","51","48516","-1.600838954","3",".","4","4","4","RACL/ETHNIC COHORT /SCRNR 79","48.516",".","-1.157831463",".","0","48.516","-1.379335208","0"
"420","3","1","49","56","66045","-1.600838954","1","2",".","4","3","RACL/ETHNIC COHORT /SCRNR 79","66.045","-1.200377928","-1.157831463","-1",".","66.045","-1.319682781","-1"
"421","3","1","99","99","100000",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","100",".",".",".",".","100",".","."
"422","3","1","99","99","99379","0.718201162","1","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","99.379","0.8329071367","1.3445155243","-1",".","99.379","0.965207941","-1"
"423","3","2",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"424","3","1","96","89","89434",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","89.434",".",".",".",".","89.434",".","."
"425","3","2","52","44","39354","-0.827825582","2","2",".","4","4","RACL/ETHNIC COHORT /SCRNR 79","39.354","-1.200377928","-1.157831463","1",".","39.354","-1.062011658","1"
"426","1","1","44","36","27838","0.718201162","3",".","4","3","5","RACL/ETHNIC COHORT /SCRNR 79","27.838",".","-0.3237158",".","0","27.838","0.1972426808","0"
"427","3","2",".",".",".","-0.827825582","5",".","2","1","4","RACL/ETHNIC COHORT /SCRNR 79",".",".","1.3445155243","0","-1",".","0.2583449713","-0.5"
"428","3","2","81","78","81231",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","81.231",".",".",".",".","81.231",".","."
"429","3","1","94","92","83776",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","83.776",".",".",".",".","83.776",".","."
"430","3","1",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"431","3","2","75","71","78081","-1.600838954","5",".","4","5",".","RACL/ETHNIC COHORT /SCRNR 79","78.081",".","-1.991947125","0","0","78.081","-1.796393039","0"
"432","3","1","3","4","1513","-1.600838954","1","1",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","1.513","0.8329071367","0.510399862","-1",".","1.513","-0.085843985","-1"
"433","3","1","3","4","1622","-1.600838954","3",".","4","5","4","RACL/ETHNIC COHORT /SCRNR 79","1.622",".","-1.991947125",".","0","1.622","-1.796393039","0"
"434","3","1","50","49","65734","-0.827825582","1","2",".","4","4","RACL/ETHNIC COHORT /SCRNR 79","65.734","-1.200377928","-1.157831463","-1",".","65.734","-1.062011658","-1"
"435","3","1","16","23","26121",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","26.121",".",".",".",".","26.121",".","."
"436","3","2","65","58","68679","-1.600838954","5",".","2","4","5","RACL/ETHNIC COHORT /SCRNR 79","68.679",".","-1.157831463","0","-1","68.679","-1.379335208","-0.5"
"437","3","2","63","64","71472","0.718201162","3",".","3","4","4","RACL/ETHNIC COHORT /SCRNR 79","71.472",".","-1.157831463",".","0","71.472","-0.21981515","0"
"438","3","2","69","80","79950","0.718201162","2","2",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","79.95","-1.200377928","-0.3237158","1",".","79.95","-0.268630856","1"
"439","3","2","81","78","75485","0.718201162","2","2",".","4","3","RACL/ETHNIC COHORT /SCRNR 79","75.485","-1.200377928","-1.157831463","1",".","75.485","-0.54666941","1"
"440","3","1","54","53","48613",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","48.613",".",".",".",".","48.613",".","."
"441","3","1","4","5","10989",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","10.989",".",".",".",".","10.989",".","."
"442","3","2","43","56","64195","0.718201162","2","2",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","64.195","-1.200377928","-0.3237158","1",".","64.195","-0.268630856","1"
"443","3","1","89","96","97365","0.718201162","2","1",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","97.365","0.8329071367","0.510399862","1",".","97.365","0.6871693869","1"
"444","3","2","62","72","80238","0.718201162","2","2",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","80.238","-1.200377928","1.3445155243","1",".","80.238","0.2874462527","1"
"445","3","1","69","77","93639","-0.05481221","3",".","3","1","4","RACL/ETHNIC COHORT /SCRNR 79","93.639",".","1.3445155243",".","0","93.639","0.6448516572","0"
"446","3","2","29","29","25328","0.718201162","1","1",".","1","5","RACL/ETHNIC COHORT /SCRNR 79","25.328","0.8329071367","1.3445155243","-1",".","25.328","0.965207941","-1"
"447","3","1","11","18","16163",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","16.163",".",".",".",".","16.163",".","."
"448","3","1","3","5","3016",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","3.016",".",".",".",".","3.016",".","."
"449","3","2","68","50","47638","-0.05481221","2","2",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","47.638","-1.200377928","-0.3237158","1",".","47.638","-0.526301979","1"
"450","3","1","31","25","27423",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","27.423",".",".",".",".","27.423",".","."
"451","3","1","17","19","39692",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","39.692",".",".",".",".","39.692",".","."
"452","3","2","37","46","55829","0.718201162","1","1",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","55.829","0.8329071367","-0.3237158","-1",".","55.829","0.4091308328","-1"
"453","3","1","73","70","72199","-1.600838954","2","1",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","72.199","0.8329071367","0.510399862","1",".","72.199","-0.085843985","1"
"454","3","2","66","78","79336",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","79.336",".",".",".",".","79.336",".","."
"455","3","2","87","98","94516","-0.827825582","2","2",".","4",".","RACL/ETHNIC COHORT /SCRNR 79","94.516","-1.200377928","-1.157831463","1",".","94.516","-1.062011658","1"
"456","3","1","52","64","48986","0.718201162","2","1",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","48.986","0.8329071367","1.3445155243","1",".","48.986","0.965207941","1"
"457","3","1","64","80","78555","0.718201162","2","1",".","1","1","RACL/ETHNIC COHORT /SCRNR 79","78.555","0.8329071367","1.3445155243","1",".","78.555","0.965207941","1"
"458","3","2","93","82","86548","0.718201162","2","1",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","86.548","0.8329071367","1.3445155243","1",".","86.548","0.965207941","1"
"459","3","2","78","87","85905","0.718201162","2","2",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","85.905","-1.200377928","-0.3237158","1",".","85.905","-0.268630856","1"
"460","3","2","38","35","31254","0.718201162","2","1",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","31.254","0.8329071367","0.510399862","1",".","31.254","0.6871693869","1"
"461","3","1","90","89","90491","0.718201162","2","2",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","90.491","-1.200377928","-0.3237158","1",".","90.491","-0.268630856","1"
"462","3","2","93","96","95252","0.718201162","2","1",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","95.252","0.8329071367","0.510399862","1",".","95.252","0.6871693869","1"
"463","3","1","75","78","79958",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","79.958",".",".",".",".","79.958",".","."
"464","3","1","85","81","79330","0.718201162","2","2",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","79.33","-1.200377928","0.510399862","1",".","79.33","0.0094076986","1"
"465","3","2","77","86","85844","0.718201162","2","1",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","85.844","0.8329071367","0.510399862","1",".","85.844","0.6871693869","1"
"466","3","1",".",".",".","0.718201162","3",".","2","2","3","RACL/ETHNIC COHORT /SCRNR 79",".",".","0.510399862",".","-1",".","0.614300512","-1"
"467","3","2","96","95","95508","-0.05481221","3",".","3","3","4","RACL/ETHNIC COHORT /SCRNR 79","95.508",".","-0.3237158",".","0","95.508","-0.189264005","0"
"468","3","1","98","93","90968","0.718201162","1","2",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","90.968","-1.200377928","0.510399862","-1",".","90.968","0.0094076986","-1"
"469","1","1","22","21","31053","-1.600838954","2","2",".","3","5","RACL/ETHNIC COHORT /SCRNR 79","31.053","-1.200377928","-0.3237158","1",".","31.053","-1.041644227","1"
"470","3","1","9","6","11350","-1.600838954","3",".","4","5","5","RACL/ETHNIC COHORT /SCRNR 79","11.35",".","-1.991947125",".","0","11.35","-1.796393039","0"
"471","3","2","38","32","28506","-1.600838954","5",".","4","4","4","RACL/ETHNIC COHORT /SCRNR 79","28.506",".","-1.157831463","0","0","28.506","-1.379335208","0"
"472","3","2","28","31","29752","-0.05481221","3",".","2","4","5","RACL/ETHNIC COHORT /SCRNR 79","29.752",".","-1.157831463",".","-1","29.752","-0.606321836","-1"
"473","3","1",".",".",".","-1.600838954","5",".","3","4","5","RACL/ETHNIC COHORT /SCRNR 79",".",".","-1.157831463","0","0",".","-1.379335208","0"
"474","3","2","26","30","40756","-1.600838954","1","2",".","4","4","RACL/ETHNIC COHORT /SCRNR 79","40.756","-1.200377928","-1.157831463","-1",".","40.756","-1.319682781","-1"
"475","3","2","18","13","20137","-1.600838954","1","2",".","4","5","RACL/ETHNIC COHORT /SCRNR 79","20.137","-1.200377928","-1.157831463","-1",".","20.137","-1.319682781","-1"
"476","3","2",".",".",".","0.718201162","3",".","0","2","3","RACL/ETHNIC COHORT /SCRNR 79",".",".","0.510399862",".",".",".","0.614300512","."
"477","3","1","15","17","32913","-1.600838954","1","2",".","1","5","RACL/ETHNIC COHORT /SCRNR 79","32.913","-1.200377928","1.3445155243","-1",".","32.913","-0.485567119","-1"
"478","3","2","54","42","51719","0.718201162","0",".","1","1","3","RACL/ETHNIC COHORT /SCRNR 79","51.719",".","1.3445155243",".","1","51.719","1.0313583431","1"
"479","3","1","59","56","76189","0.718201162","1","2",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","76.189","-1.200377928","-0.3237158","-1",".","76.189","-0.268630856","-1"
"480","3","1","56","57","51896","0.718201162","1","1",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","51.896","0.8329071367","1.3445155243","-1",".","51.896","0.965207941","-1"
"481","3","1","98","99","93653","0.718201162","2","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","93.653","0.8329071367","1.3445155243","1",".","93.653","0.965207941","1"
"482","3","1","83","88","77991","0.718201162","2","1",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","77.991","0.8329071367","1.3445155243","1",".","77.991","0.965207941","1"
"483","3","1","74","58","47109","-1.600838954","2","2",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","47.109","-1.200377928","-0.3237158","1",".","47.109","-1.041644227","1"
"484","3","1","17","15","13303","-1.600838954","3",".","4","5","4","RACL/ETHNIC COHORT /SCRNR 79","13.303",".","-1.991947125",".","0","13.303","-1.796393039","0"
"485","3","2","19","14","8229","0.718201162","2","1",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","8.229","0.8329071367","0.510399862","1",".","8.229","0.6871693869","1"
"486","3","1","30","35","50498","0.718201162","2","2",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","50.498","-1.200377928","1.3445155243","1",".","50.498","0.2874462527","1"
"487","3","2","53","53","44363","0.718201162","2","2",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","44.363","-1.200377928","0.510399862","1",".","44.363","0.0094076986","1"
"488","3","1","35","48","56470","0.718201162","5",".","1","1","3","RACL/ETHNIC COHORT /SCRNR 79","56.47",".","1.3445155243","0","1","56.47","1.0313583431","0.5"
"489","3","1","72","70","59586","0.718201162","5",".","4","4","3","RACL/ETHNIC COHORT /SCRNR 79","59.586",".","-1.157831463","0","0","59.586","-0.21981515","0"
"490","3","1","21","27","30006",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","30.006",".",".",".",".","30.006",".","."
"491","3","2","16","11","13761","-1.600838954","3",".","3","5","5","RACL/ETHNIC COHORT /SCRNR 79","13.761",".","-1.991947125",".","0","13.761","-1.796393039","0"
"492","3","2","52","53","54285","0.718201162","0",".","1","3","3","RACL/ETHNIC COHORT /SCRNR 79","54.285",".","-0.3237158",".","1","54.285","0.1972426808","1"
"493","3","1","49","65","73292","-0.05481221","5",".","3","4","4","RACL/ETHNIC COHORT /SCRNR 79","73.292",".","-1.157831463","0","0","73.292","-0.606321836","0"
"494","3","2","84","81","83731",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","83.731",".",".",".",".","83.731",".","."
"495","3","2","74","64","69070","0.718201162","2","1",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","69.07","0.8329071367","-0.3237158","1",".","69.07","0.4091308328","1"
"496","3","2","94","87","92866","0.718201162","1","2",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","92.866","-1.200377928","0.510399862","-1",".","92.866","0.0094076986","-1"
"497","3","1","26","25","23788",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","23.788",".",".",".",".","23.788",".","."
"498","3","1",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"499","3","2","38","40","39163","0.718201162","1","2",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","39.163","-1.200377928","-0.3237158","-1",".","39.163","-0.268630856","-1"
"500","3","2","63","57","64295","0.718201162","5",".","4","3","4","RACL/ETHNIC COHORT /SCRNR 79","64.295",".","-0.3237158","0","0","64.295","0.1972426808","0"
"501","3","2","69","67","78966","0.718201162","1","2",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","78.966","-1.200377928","-0.3237158","-1",".","78.966","-0.268630856","-1"
"502","3","1","78","70","71792","0.718201162","2","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","71.792","0.8329071367","1.3445155243","1",".","71.792","0.965207941","1"
"503","3","2","40","45","56773","-1.600838954","1","1",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","56.773","0.8329071367","-0.3237158","-1",".","56.773","-0.363882539","-1"
"504","3","2","11","13","19412","-1.600838954","3",".","3","2","4","RACL/ETHNIC COHORT /SCRNR 79","19.412",".","0.510399862",".","0","19.412","-0.545219546","0"
"505","3","1","38","28","26498","-1.600838954","5",".","4","5",".","RACL/ETHNIC COHORT /SCRNR 79","26.498",".","-1.991947125","0","0","26.498","-1.796393039","0"
"506","3","2","43","42","43741","0.718201162","0",".","2","1","3","RACL/ETHNIC COHORT /SCRNR 79","43.741",".","1.3445155243",".","-1","43.741","1.0313583431","-1"
"507","3","2","60","65","70767","0.718201162","1","1",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","70.767","0.8329071367","-0.3237158","-1",".","70.767","0.4091308328","-1"
"508","3","1","25","21","23980",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","23.98",".",".",".",".","23.98",".","."
"509","3","1","73","80","87400",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","87.4",".",".",".",".","87.4",".","."
"510","3","2","87","77","85325",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","85.325",".",".",".",".","85.325",".","."
"511","3","1","80","85","90277",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","90.277",".",".",".",".","90.277",".","."
"512","3","1","49","46","47966",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","47.966",".",".",".",".","47.966",".","."
"513","2","1","43","46","51831","0.718201162","1","1",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","51.831","0.8329071367","0.510399862","-1",".","51.831","0.6871693869","-1"
"514","2","2","9","7","11503","0.718201162","0",".","2","2","2","RACL/ETHNIC COHORT /SCRNR 79","11.503",".","0.510399862",".","-1","11.503","0.614300512","-1"
"515","3","2","16","13","21063",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","21.063",".",".",".",".","21.063",".","."
"516","2","1","4","7","5250","-0.05481221","3",".","3","5","5","RACL/ETHNIC COHORT /SCRNR 79","5.25",".","-1.991947125",".","0","5.25","-1.023379667","0"
"517","2","1","8","8","3292","-1.600838954","3",".","2","3","3","RACL/ETHNIC COHORT /SCRNR 79","3.292",".","-0.3237158",".","-1","3.292","-0.962277377","-1"
"518","2","1","5","7","15956","-1.600838954","1","1",".","2","2","RACL/ETHNIC COHORT /SCRNR 79","15.956","0.8329071367","0.510399862","-1",".","15.956","-0.085843985","-1"
"519","2","2","2","2","2837","0.718201162","1","1",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","2.837","0.8329071367","-0.3237158","-1",".","2.837","0.4091308328","-1"
"520","2","1","22","29","26381","0.718201162","1","1",".","2","5","RACL/ETHNIC COHORT /SCRNR 79","26.381","0.8329071367","0.510399862","-1",".","26.381","0.6871693869","-1"
"521","2","1","28","44","37473","0.718201162","1","1",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","37.473","0.8329071367","0.510399862","-1",".","37.473","0.6871693869","-1"
"522","2","2","7","10","4798",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","4.798",".",".",".",".","4.798",".","."
"523","2","1","15","16","23333",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","23.333",".",".",".",".","23.333",".","."
"524","2","1","42","51","49749",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","49.749",".",".",".",".","49.749",".","."
"525","2","2",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"526","3","1","22","16","13105",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","13.105",".",".",".",".","13.105",".","."
"527","3","2","82","64","61184","0.718201162","5",".","3","4","4","RACL/ETHNIC COHORT /SCRNR 79","61.184",".","-1.157831463","0","0","61.184","-0.21981515","0"
"528","3","2","27","22","30237","-0.827825582","1","1",".","4","3","RACL/ETHNIC COHORT /SCRNR 79","30.237","0.8329071367","-1.157831463","-1",".","30.237","-0.384249969","-1"
"529","3","2",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"530","3","2","12","8","5291","-1.600838954","3",".","3","2","5","RACL/ETHNIC COHORT /SCRNR 79","5.291",".","0.510399862",".","0","5.291","-0.545219546","0"
"531","3","1","10","12","5935","-1.600838954","3",".","2","2","5","RACL/ETHNIC COHORT /SCRNR 79","5.935",".","0.510399862",".","-1","5.935","-0.545219546","-1"
"532","3","2","10","13","13162",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","13.162",".",".",".",".","13.162",".","."
"533","3","2","55","47","55185","0.718201162","2","1",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","55.185","0.8329071367","0.510399862","1",".","55.185","0.6871693869","1"
"534","3","1","4","4","982","0.718201162","1","1",".","3","5","RACL/ETHNIC COHORT /SCRNR 79","0.982","0.8329071367","-0.3237158","-1",".","0.982","0.4091308328","-1"
"535","3","1","27","23","33208","-1.600838954","3",".","2","3","4","RACL/ETHNIC COHORT /SCRNR 79","33.208",".","-0.3237158",".","-1","33.208","-0.962277377","-1"
"536","3","2","2","4","3052","-1.600838954","2","1",".","4","4","RACL/ETHNIC COHORT /SCRNR 79","3.052","0.8329071367","-1.157831463","1",".","3.052","-0.641921093","1"
"537","3","1","2","4","1356","-1.600838954","2","2",".","4","3","RACL/ETHNIC COHORT /SCRNR 79","1.356","-1.200377928","-1.157831463","1",".","1.356","-1.319682781","1"
"538","3","1","24","23","15896","-0.05481221","3",".","2","2","3","RACL/ETHNIC COHORT /SCRNR 79","15.896",".","0.510399862",".","-1","15.896","0.227793826","-1"
"539","3","1","93","81","85990",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","85.99",".",".",".",".","85.99",".","."
"540","3","1","25","13","16138","-1.600838954","5",".","2","4","2","RACL/ETHNIC COHORT /SCRNR 79","16.138",".","-1.157831463","0","-1","16.138","-1.379335208","-0.5"
"541","3","1","18","16","23134","-1.600838954","5",".","4","5","4","RACL/ETHNIC COHORT /SCRNR 79","23.134",".","-1.991947125","0","0","23.134","-1.796393039","0"
"542","3","2",".",".",".","-0.05481221","2","2",".","4","5","RACL/ETHNIC COHORT /SCRNR 79",".","-1.200377928","-1.157831463","1",".",".","-0.804340534","1"
"543","3","1","23","25","21108","0.718201162","5",".","4","1","5","RACL/ETHNIC COHORT /SCRNR 79","21.108",".","1.3445155243","0","0","21.108","1.0313583431","0"
"544","3","2","30","23","23501","0.718201162","0",".","2","1","3","RACL/ETHNIC COHORT /SCRNR 79","23.501",".","1.3445155243",".","-1","23.501","1.0313583431","-1"
"545","3","1","63","57","54446",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","54.446",".",".",".",".","54.446",".","."
"546","3","2","22","22","28073","0.718201162","3",".","3","1","4","RACL/ETHNIC COHORT /SCRNR 79","28.073",".","1.3445155243",".","0","28.073","1.0313583431","0"
"547","3","1","38","46","45744","0.718201162","3",".","4","1","5","RACL/ETHNIC COHORT /SCRNR 79","45.744",".","1.3445155243",".","0","45.744","1.0313583431","0"
"548","3","2","63","63","72071","0.718201162","3",".","3","2","3","RACL/ETHNIC COHORT /SCRNR 79","72.071",".","0.510399862",".","0","72.071","0.614300512","0"
"549","3","1","42","43","42319","0.718201162","2","1",".","4","5","RACL/ETHNIC COHORT /SCRNR 79","42.319","0.8329071367","-1.157831463","1",".","42.319","0.1310922787","1"
"550","3","2","79","82","81039","0.718201162","2","1",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","81.039","0.8329071367","0.510399862","1",".","81.039","0.6871693869","1"
"551","3","2",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"552","3","2","81","97","94578","0.718201162","3",".","1","2","3","RACL/ETHNIC COHORT /SCRNR 79","94.578",".","0.510399862",".","1","94.578","0.614300512","1"
"553","3","1","99","99","99154","-0.05481221","3",".","3","3","4","RACL/ETHNIC COHORT /SCRNR 79","99.154",".","-0.3237158",".","0","99.154","-0.189264005","0"
"554","3","1","72","80","91427","0.718201162","2","2",".","2","2","RACL/ETHNIC COHORT /SCRNR 79","91.427","-1.200377928","0.510399862","1",".","91.427","0.0094076986","1"
"555","3","1",".",".",".","0.718201162","2","2",".","4","3","RACL/ETHNIC COHORT /SCRNR 79",".","-1.200377928","-1.157831463","1",".",".","-0.54666941","1"
"556","3","1","72","93","86423",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","86.423",".",".",".",".","86.423",".","."
"557","3","2","99","99","99324","0.718201162","2","1",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","99.324","0.8329071367","-0.3237158","1",".","99.324","0.4091308328","1"
"558","3","2","79","80","83317","0.718201162","1","2",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","83.317","-1.200377928","-0.3237158","-1",".","83.317","-0.268630856","-1"
"559","3","1","94","95","95070","0.718201162","3",".","3","4","4","RACL/ETHNIC COHORT /SCRNR 79","95.07",".","-1.157831463",".","0","95.07","-0.21981515","0"
"560","3","1","57","57","62344","0.718201162","1","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","62.344","0.8329071367","1.3445155243","-1",".","62.344","0.965207941","-1"
"561","3","2","73","75","76633","0.718201162","3",".","3","2","4","RACL/ETHNIC COHORT /SCRNR 79","76.633",".","0.510399862",".","0","76.633","0.614300512","0"
"562","3","1","63","62","64432","0.718201162","2","2",".","4","3","RACL/ETHNIC COHORT /SCRNR 79","64.432","-1.200377928","-1.157831463","1",".","64.432","-0.54666941","1"
"563","3","2","36","42","44891","0.718201162","2","2",".","4","4","RACL/ETHNIC COHORT /SCRNR 79","44.891","-1.200377928","-1.157831463","1",".","44.891","-0.54666941","1"
"564","3","1","39","45","33668","-1.600838954","5",".","4","4","5","RACL/ETHNIC COHORT /SCRNR 79","33.668",".","-1.157831463","0","0","33.668","-1.379335208","0"
"565","3","1","44","36","35041","0.718201162","1","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","35.041","0.8329071367","1.3445155243","-1",".","35.041","0.965207941","-1"
"566","3","2","25","22","24660",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","24.66",".",".",".",".","24.66",".","."
"567","3","2","43","51","49801","0.718201162","2","2",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","49.801","-1.200377928","0.510399862","1",".","49.801","0.0094076986","1"
"568","3","2","54","46","54083","-1.600838954","5",".","4","4","3","RACL/ETHNIC COHORT /SCRNR 79","54.083",".","-1.157831463","0","0","54.083","-1.379335208","0"
"569","3","1","85","85","87453",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","87.453",".",".",".",".","87.453",".","."
"570","3","1","99","97","100000","0.718201162","2","1",".","1","2","RACL/ETHNIC COHORT /SCRNR 79","100","0.8329071367","1.3445155243","1",".","100","0.965207941","1"
"571","3","1","58","58","75727","0.718201162","1","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","75.727","0.8329071367","1.3445155243","-1",".","75.727","0.965207941","-1"
"572","3","2",".",".",".","-1.600838954",".",".","1","2","3","RACL/ETHNIC COHORT /SCRNR 79",".",".","0.510399862",".","1",".","-0.545219546","1"
"573","3","1","67","66","69447","-1.600838954","2","2",".","4","3","RACL/ETHNIC COHORT /SCRNR 79","69.447","-1.200377928","-1.157831463","1",".","69.447","-1.319682781","1"
"574","3","2","39","29","35314",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","35.314",".",".",".",".","35.314",".","."
"575","3","1","99","99","99707",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","99.707",".",".",".",".","99.707",".","."
"576","3","2","94","89","86676","0.718201162","2","2",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","86.676","-1.200377928","1.3445155243","1",".","86.676","0.2874462527","1"
"577","3","2","93","97","96036","0.718201162",".",".",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","96.036",".","0.510399862",".",".","96.036","0.614300512","."
"578","3","1","99","98","98253","0.718201162","2","1",".","1","2","RACL/ETHNIC COHORT /SCRNR 79","98.253","0.8329071367","1.3445155243","1",".","98.253","0.965207941","1"
"579","3","2","75","61","72569","0.718201162","0",".","1","1","3","RACL/ETHNIC COHORT /SCRNR 79","72.569",".","1.3445155243",".","1","72.569","1.0313583431","1"
"580","3","1","63","46","41508",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","41.508",".",".",".",".","41.508",".","."
"581","3","1","95","92","93783","0.718201162","5",".","4","4","1","RACL/ETHNIC COHORT /SCRNR 79","93.783",".","-1.157831463","0","0","93.783","-0.21981515","0"
"582","3","2","66","88","91677",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","91.677",".",".",".",".","91.677",".","."
"583","3","1","81","84","73326","-0.05481221","1","1",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","73.326","0.8329071367","0.510399862","-1",".","73.326","0.4294982629","-1"
